Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2000,38.0878723316079
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2001,40.2735822660957
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2002,41.0634713445186
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,45.0941346535517
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2004,50.3358928940492
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2005,55.5269219624651
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2006,63.5526356768982
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2007,69.7546612757899
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2008,88.0581564955536
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2009,96.1895575526589
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2010,100.0
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2011,114.02249130147
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2012,124.715258324443
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2013,131.845845200422
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2014,140.914406784821
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2015,150.189610460249
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2016,159.647425011301
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2017,172.428238576216
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2018,180.514789261214
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2019,189.973110678512
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2020,200.241465217838
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2021,212.472085832078
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2022,228.747155845931
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2023,246.295256788022
Kenya,KEN,Consumer price index (2010 = 100),FP.CPI.TOTL,2024,257.35339300785
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2000,46.7113656890543
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2001,48.2728589440866
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2002,49.2347368954152
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,52.9025771588778
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2004,59.3835186222589
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2005,64.7364019496396
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2006,70.4868242480993
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2007,76.8875368460958
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2008,88.7575992244827
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2009,100.246735981484
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2010,100.0
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2011,103.080170692403
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2012,113.66755381768
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2013,120.401525107651
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2014,123.236367612123
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2015,126.35240266948
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2016,135.417357450773
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2017,146.629287289695
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2018,146.172962049541
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2019,151.066652368989
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2020,165.947320417633
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2021,165.297890975286
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2022,194.537781306206
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2023,233.035926477338
Rwanda,RWA,Consumer price index (2010 = 100),FP.CPI.TOTL,2024,237.161343777664
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2000,51.7077252594847
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2001,54.3693638718957
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2002,57.2606362052459
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,60.2974919615774
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2004,63.1530614538705
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2005,66.3325465984336
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2006,71.1423013909823
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2007,76.140413998175
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2008,83.9664255610108
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2009,94.1618202905322
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2010,100.0
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2011,112.690969469916
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2012,130.722757255987
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2013,141.011584221696
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2014,149.657870726625
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2015,158.021006257208
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2016,166.198224024889
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2017,175.03783564472
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2018,181.154460150602
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2019,187.430158933385
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2020,193.597155886785
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2021,200.742671235263
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2022,209.475523539762
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2023,217.433986576543
Tanzania,TZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2024,224.080827791125
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2000,53.6994387766516
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2001,54.7010005634685
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2002,54.5437305308278
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,59.278386250326
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2004,61.484305392365
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2005,66.6789461480449
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2006,71.553627951572
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2007,75.9459551546768
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2008,85.0980925051349
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2009,96.1755292184112
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2010,100.0
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2011,116.564349617451
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2012,131.343587476395
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2013,137.786264630974
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2014,142.02416598956
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2015,149.962871001285
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2016,158.52031485061
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2017,166.778774735588
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2018,171.141727345227
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2019,176.049367040563
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2020,181.882451026004
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2021,185.892180700766
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2022,199.268589530793
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2023,209.931348222214
Uganda,UGA,Consumer price index (2010 = 100),FP.CPI.TOTL,2024,216.908166071118
